path,font,char
char\一字\一字 楷书 孙秋生造像.jpg,0,一
char\一字\一字 楷书 柳公权.jpg,0,一
char\一字\一字 楷书 欧阳询.jpg,0,一
char\一字\一字 楷书 虞世南.jpg,0,一
char\一字\一字 楷书 褚遂良.jpg,0,一
char\一字\一字 楷书 颜真卿.jpg,0,一
char\一字\一字 楷书 高贞碑.jpg,0,一
char\一字\一字 篆书 徐三庚.jpg,4,一
char\一字\一字 草书 吴镇.jpg,3,一
char\一字\一字 草书 孙过庭.jpg,3,一
char\一字\一字 草书 宋克.jpg,3,一
char\一字\一字 草书 张旭.jpg,3,一
char\一字\一字 草书 张瑞图.jpg,3,一
char\一字\一字 草书 张芝.jpg,3,一
char\一字\一字 草书 徐伯清.jpg,3,一
char\一字\一字 草书 怀素.jpg,3,一
char\一字\一字 草书 敬世江.jpg,3,一
char\一字\一字 草书 文天祥.jpg,3,一
char\一字\一字 草书 杜预.jpg,3,一
char\一字\一字 草书 毛泽东.jpg,3,一
char\一字\一字 草书 王守仁.jpg,3,一
char\一字\一字 草书 王羲之.jpg,3,一
char\一字\一字 草书 皇象.jpg,3,一
char\一字\一字 草书 米芾.jpg,3,一
char\一字\一字 草书 萧衍.jpg,3,一
char\一字\一字 草书 赵子昂.jpg,3,一
char\一字\一字 草书 陆游.jpg,3,一
char\一字\一字 草书 黄庭坚.jpg,3,一
char\一字\一字 行书 孙虔礼.jpg,2,一
char\一字\一字 行书 敬世江.jpg,2,一
char\一字\一字 行书 李怀琳.jpg,2,一
char\一字\一字 行书 杜预.jpg,2,一
char\一字\一字 行书 查士标.jpg,2,一
char\一字\一字 行书 王庭筠.jpg,2,一
char\一字\一字 行书 王羲之.jpg,2,一
char\一字\一字 行书 皇象.jpg,2,一
char\一字\一字 行书 米芾.jpg,2,一
char\一字\一字 行书 苏轼.jpg,2,一
char\一字\一字 行书 萧衍.jpg,2,一
char\一字\一字 行书 董其昌.jpg,2,一
char\一字\一字 行书 解缙.jpg,2,一
char\一字\一字 行书 陆柬之.jpg,2,一
char\一字\一字 行书 鲜于枢.jpg,2,一
char\一字\一字 行书 黄庭坚.jpg,2,一
char\一字\一字 隶书 唐玄宗.jpg,1,一
char\一字\一字 隶书 朝侯残碑.jpg,1,一
char\一字\一字 隶书 赵之谦.jpg,1,一
